"REGISTRATION_NUMBER";"CODE_OF_STUDY_PROGRAMME";"FAMILY_NAME_OF_STUDENT";"FIRST_NAME_OF_STUDENT";"EMAIL_ADDRESS";"DATE_OF_ASSESSMENT";"GRADE";"ECTS_GRADE";"REMARK";"NUMBER_OF_ATTEMPTS";"Number_Of_The_Course";"SEMESTER_OF_The_COURSE";"COURSE_TYPE";"COURSE_HOURS_WS";"COURSE_HOURS_SS";"COURSE_TITLE";"Examiner";"Birthday_Of_Student";"Start_Time";"TERMIN_ORT";"DB_PRIMARY_Key_OF_STUDY";"DB_Primary_Key_Of_Candidate";"DB_Primary_Key_Of_Exam";"COURSE_GROUP_NAME";"TOTAL_POINTS";"TOTAL_POINTS_LIMIT_REACHED";"FILE_REMARK";"Information"
"01234567";"F 033 524";"AmmlerWithHighHeels";"Arndt";"Arndt.Ammler@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";"Verwendete Notenskala, bzw. mögliche Prüfungszusätze (je nach Berechtigung)"
"01234566";"F 033 521";"Aimićo";"Ammar";"Ammar.Aimico@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 20.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"06.08.1997";"11:00";"HS i13 (ICK1120H)";"213847";"4143341";"1256901";"Standardgruppe";"";"";"";"sehr gut (1), gut (2), befriedigend (3), genügend (4), nicht genügend (5)"
"01234568";"F 033 521";"Bammer";"Bernd";"Bernd.Bammer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234569";"F 033 524";"Cammer";"Chris";"Chris.Cammer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234570";"F 033 521";"Dammer";"Danny";"Danny.Dammer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234571";"F 033 524";"Emmler";"Erick";"Erick.Emmler@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234572";"F 033 521";"Femmer";"Frida";"Frida.Femmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234573";"F 033 524";"Gemmer";"Gerti";"Gerti.Gemmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234574";"F 033 521";"Hemmer";"Hanna";"Hanna.Hemmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234575";"F 033 524";"Immler";"Ignaz";"Ignaz.Immler@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234576";"F 033 521";"Jammer";"Jérko";"Jérko.Jammer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234577";"F 033 524";"Kämmer";"Krisĉ";"Krisĉ.Kämmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234578";"F 033 521";"Lömmer";"Luhsa";"Luhsa.Lömmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234579";"F 033 524";"Mümmer";"Mikel";"Mikel.Mümmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234580";"F 033 521";"Nimmer";"Noobs";"Noobs.Nimmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234581";"F 033 524";"Ommler";"Ödöhn";"Ödöhn.Ommler@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234582";"F 033 521";"Pemmer";"Paula";"Paula.Pemmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234583";"F 033 524";"Queßer";"Quirx";"Quirx.Queßer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234584";"F 033 521";"Rößler";"Rohsa";"Rohsa.Rößler@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234585";"F 033 524";"Semmer";"Simel";"Simel.Semmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234586";"F 033 521";"Timmer";"Thomi";"Thomi.Timmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234587";"F 033 524";"Uemmer";"Ulffe";"Ulffe.Uemmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234588";"F 033 521";"Vemmer";"Vroni";"Vroni.Vemmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234589";"F 033 524";"Wemmer";"Werna";"Werna.Wemmer@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234590";"F 033 521";"Xenner";"Xaver";"Xaver.Xenner@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234591";"F 033 524";"Yppner";"Yaehl";"Yaehl.Yppner@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""
"01234593";"F 033 521";"Zetter";"Zenzi";"Zenzi.Zetter@student.tukratz.at";"06.02.2018";"X";"";"Status zum Anmeldezeitpunkt 21.01.2018:  § Bei dieser Prüfung handelt es sich um eine Veranstaltung der Studieneingangs- und Orientierungsphase (STEOP). Wenn Sie jetzt oder später ein STEOP-Studium studieren, so wird dieser Prüfungsantritt mitgezählt. Für diese STEOP-Lehrveranstaltungen ist möglicherweise eine kleinere Anzahl an Antritten vorgesehen.";"0";"INB01234UF";"17W";"VO";"2";"0";"Grundlagen der Informatik (CS)";"Sensei Wu ";"23.02.1997";"11:00";"HS i13 (ICK1120H)";"210565";"4143845";"1256901";"Standardgruppe";"";"";"";""

